"rank","name","amount"
"123","ZEPO Boøitov, družstvo","126218"
"124","ZEVOS s.r.o.","124886"
"125","ZEMSPOL, s. r. o.","123536"
"126","Zemědělské družstvo Zlatý potok","123375"
"127","Zemědělské obchodní družstvo se sídlem v Kolinci","122979"
"128","Zemìdìlské družstvo Svìtnov","122451"
"129","ZEOS, s.r.o.","122369"
"130","Zemìdìlské obchodní družstvo ŠKVOØETICE","120915"
"131","ZS Pobečví a.s.","120786"
"132","Žďár Chudenice s.r.o.","120703"
"133","Zemědělské družstvo Záboří","120584"
"134","Zemìdìlské obchodní družstvo AGRISPOL","120533"
"135","ZEOS Kamenice, s.r.o.","120256"
"136","ZERA Rájec a.s.","120054"
"137","ZOS Rychnov na Moravì s.r.o.","119595"
"138","Zemědělství Blatná, a.s.","118666"
"139","ZEMPO-VOS a.s. Strunkovice nad Blanicí","118614"
"140","Zemědělské obchodní družstvo Vilémov","118552"
"141","Zem. spol. SKALSKO, s.r.o.","117994"
"142","ZEM, a.s.","117158"
"143","Zem. spol. BUKOVNO, s.r.o.","116901"
"144","ZEVA spol. s r.o.","116895"
"145","Zemědělské obchodní družstvo Lešná se sídlem v Lešné","116366"
"146","ZEOS, s.r.o.","115583"
"147","Zemědělské zásobování v Teplicích, a.s.","115471"
"148","ZOD Petroupim a.s.","115451"
"149","ZVOZD Horácko, družstvo","115389"
"150","ZEVAS s.r.o.","114606"
"151","ZEMÌDÌLSTVÍ - výroba a obchod, s.r.o., z krácenì ZVO, s.r.o.","114577"
"152","ZEOBS, spol. s r.o.","113867"
"153","ZEMÌDÌLSTVÍ - výroba a obchod, s.r.o., z krácenì ZVO, s.r.o.","113799"
"154","ZEOS Brníøov a.s.","113524"
"155","Zemědělské obchodní družstvo Borovany","113463"
"156","Zemědělské družstvo vlastníků Fryšták","113005"
"157","Zemědělské družstvo vlastníků NÝROV","112867"
"158","ZEVOS a.s.","111594"
"159","ZOS Kačina, a.s.","111394"
"160","ZEVA, spol. s r.o.","111388"
"161","ZESPO CZ s.r.o.","111125"
"162","Zemìdìlské družstvo Šonov u Broumova","110330"
"163","Zemědělské obchodní družstvo Borovany","109942"
"164","Zemìdìlské družstvo v Pòovicích","109600"
"165","ZP Štìpánov, a.s.","109540"
"166","Zemědělské obchodní družstvo Němětice","108849"
"167","ZP Ostrov,a.s.","107665"
"168","Zemědělské družstvo Smilovy Hory","107462"
"169","Zemědělsko-obchodní družstvo vlastníků Ú jezd u Uničova","107400"
"170","Zemìdìlské družstvo Tìšetice","107366"
"171","Zemědělské obchodní družstvo Lubná","107187"
"172","Zemědělské obchodní družstvo Branice","106837"
"173","ZS Dublovice a.s.","106765"
"174","Zemìdìlské obchodní družstvo Hlavòovice","106182"
"175","ZOD Nìmèice nad Hanou, družstvo","106016"
"176","Zemědělské družstvo vlastníků Podřipsko","105196"
"177","Zemìdìlské družstvo Snìžné","104135"
"178","Zemědělské obchodní družstvo Kámen","103944"
"179","ZEMOS a.s.","103392"
"180","ZP Otice, a.s.","103382"
"181","Zemìdìlské družstvo Staøeè, družstvo","102074"
"182","Zemìdìlský podnik, a.s. Mìsto Albrechtice","101649"
"183","ZEPO, akciová společnost Leština ( a.s.)","99920"
"184","ZEMĚDĚLSKÉ OBCHODNÍ DRUŽSTVO MIROTICE","99793"
"185","Zemědělské družstvo Strmilov","99443"
"186","ZEMOS a.s.","99111"
"187","ZEOS-L, s.r.o.","99104"
"188","ZEOS LOMNICE a.s.","98511"
"189","Zemědělské družstvo vlastníků Nošovice","98286"
"190","Zemědělské výrobní družstvo OSELCE","98272"
"191","Zemìdìlské družstvo Tøebonín","97991"
"192","ZEMSPOL, spol. s r.o.","97483"
"193","Zem. spol. BUKOVNO, s.r.o.","96475"
"194","Zemědělské obchodní družstvo Mrákov","96325"
"195","ZEV Šaratice, a.s.","96249"
"196","ZEPO Loukov, a.s.","96108"
"197","ZEMSPOL, s. r. o.","95751"
"198","ZEMSPOL s.r.o.","95060"
"199","Zemìdìlské družstvo Úštìk","95041"
"200","Zemìdìlské družstvo Tìmice","94843"
